word,category,weight
abandon,sad,2
abandoned,sad,2
abandons,sad,2
abducted,sad,2
abduction,sad,2
abductions,sad,2
abhor,sad,3
abhorred,sad,3
abhorrent,sad,3
abhors,sad,3
abilities,happy,2
ability,happy,2
aboard,happy,1
absentee,sad,1
absentees,sad,1
absolve,happy,2
absolved,happy,2
absolves,happy,2
absolving,happy,2
absorbed,happy,1
abuse,sad,3
abused,sad,3
abuses,sad,3
abusive,sad,3
accept,happy,1
accepted,happy,1
accepting,happy,1
accepts,happy,1
accident,sad,2
accidental,sad,2
accidentally,sad,2
accidents,sad,2
accomplish,happy,2
accomplished,happy,2
accomplishes,happy,2
accusation,sad,2
accusations,sad,2
accuse,sad,2
accused,sad,2
accuses,sad,2
accusing,sad,2
ache,sad,2
achievable,happy,1
aching,sad,2
acquit,happy,2
acquits,happy,2
acquitted,happy,2
acquitting,happy,2
acrimonious,sad,3
active,happy,1
adequate,happy,1
admire,happy,3
admired,happy,3
admires,happy,3
admiring,happy,3
admit,sad,1
admits,sad,1
admitted,sad,1
admonish,sad,2
admonished,sad,2
adopt,happy,1
adopts,happy,1
adorable,happy,3
adore,happy,3
adored,happy,3
adores,happy,3
advanced,happy,1
advantage,happy,2
advantages,happy,2
adventure,happy,2
adventures,happy,2
adventurous,happy,2
affected,sad,1
affection,happy,3
affectionate,happy,3
afflicted,sad,1
affronted,sad,1
afraid,sad,2
aggravate,sad,2
aggravated,sad,2
aggravates,sad,2
aggravating,sad,2
aggression,sad,2
aggressions,sad,2
aggressive,sad,2
aghast,sad,2
agog,happy,2
agonise,sad,3
agonised,sad,3
agonises,sad,3
agonising,sad,3
agonize,sad,3
agonized,sad,3
agonizes,sad,3
agonizing,sad,3
agree,happy,1
agreeable,happy,2
agreed,happy,1
agreement,happy,1
agrees,happy,1
alarm,sad,2
alarmed,sad,2
alarmist,sad,2
alarmists,sad,2
alas,sad,1
alert,sad,1
alienation,sad,2
alive,happy,1
allergic,sad,2
allow,happy,1
alone,sad,2
amaze,happy,2
amazed,happy,2
amazes,happy,2
amazing,happy,4
ambitious,happy,2
ambivalent,sad,1
amuse,happy,3
amused,happy,3
amusement,happy,3
amusements,happy,3
anger,sad,3
angers,sad,3
angry,sad,3
anguish,sad,3
anguished,sad,3
animosity,sad,2
annoy,sad,2
annoyance,sad,2
annoyed,sad,2
annoying,sad,2
annoys,sad,2
antagonistic,sad,2
anti,sad,1
anticipation,happy,1
anxiety,sad,2
anxious,sad,2
apathetic,sad,3
apathy,sad,3
apeshit,sad,3
apocalyptic,sad,2
apologise,sad,1
apologised,sad,1
apologises,sad,1
apologising,sad,1
apologize,sad,1
apologized,sad,1
apologizes,sad,1
apologizing,sad,1
apology,sad,1
appalled,sad,2
appalling,sad,2
appease,happy,2
appeased,happy,2
appeases,happy,2
appeasing,happy,2
applaud,happy,2
applauded,happy,2
applauding,happy,2
applauds,happy,2
applause,happy,2
appreciate,happy,2
appreciated,happy,2
appreciates,happy,2
appreciating,happy,2
appreciation,happy,2
apprehensive,sad,2
approval,happy,2
approved,happy,2
approves,happy,2
ardent,happy,1
arrest,sad,2
arrested,sad,3
arrests,sad,2
arrogant,sad,2
ashame,sad,2
ashamed,sad,2
ass,sad,4
assassination,sad,3
assassinations,sad,3
asset,happy,2
assets,happy,2
assfucking,sad,4
asshole,sad,4
astonished,happy,2
astound,happy,3
astounded,happy,3
astounding,happy,3
astoundingly,happy,3
astounds,happy,3
attack,sad,1
attacked,sad,1
attacking,sad,1
attacks,sad,1
attract,happy,1
attracted,happy,1
attracting,happy,2
attraction,happy,2
attractions,happy,2
attracts,happy,1
audacious,happy,3
authority,happy,1
avert,sad,1
averted,sad,1
averts,sad,1
avid,happy,2
avoid,sad,1
avoided,sad,1
avoids,sad,1
await,sad,1
awaited,sad,1
awaits,sad,1
award,happy,3
awarded,happy,3
awards,happy,3
awesome,happy,4
awful,sad,3
awkward,sad,2
axe,sad,1
axed,sad,1
backed,happy,1
backing,happy,2
backs,happy,1
bad,sad,3
badass,sad,3
badly,sad,3
bailout,sad,2
bamboozle,sad,2
bamboozled,sad,2
bamboozles,sad,2
ban,sad,2
banish,sad,1
bankrupt,sad,3
bankster,sad,3
banned,sad,2
bargain,happy,2
barrier,sad,2
bastard,sad,5
bastards,sad,5
battle,sad,1
battles,sad,1
beaten,sad,2
beatific,happy,3
beating,sad,1
beauties,happy,3
beautiful,happy,3
beautifully,happy,3
beautify,happy,3
belittle,sad,2
belittled,sad,2
beloved,happy,3
benefit,happy,2
benefits,happy,2
benefitted,happy,2
benefitting,happy,2
bereave,sad,2
bereaved,sad,2
bereaves,sad,2
bereaving,sad,2
best,happy,3
betray,sad,3
betrayal,sad,3
betrayed,sad,3
betraying,sad,3
betrays,sad,3
better,happy,2
bias,sad,1
biased,sad,2
big,happy,1
bitch,sad,5
bitches,sad,5
bitter,sad,2
bitterly,sad,2
bizarre,sad,2
blah,sad,2
blame,sad,2
blamed,sad,2
blames,sad,2
blaming,sad,2
bless,happy,2
blesses,happy,2
blessing,happy,3
blind,sad,1
bliss,happy,3
blissful,happy,3
blithe,happy,2
block,sad,1
blockbuster,happy,3
blocked,sad,1
blocking,sad,1
blocks,sad,1
bloody,sad,3
blurry,sad,2
boastful,sad,2
bold,happy,2
boldly,happy,2
bomb,sad,1
boost,happy,1
boosted,happy,1
boosting,happy,1
